,Unnamed: 0,City,Country,Max Temp,% Humidity,% Cloudiness,Wind Speed,Lat,Lng
1132,1132,Jamestown,SH,64.02,71,0,3.65,-15.9387,-5.7168
1133,1133,Cape town,ZA,64.11,51,4,3.67,-33.9258,18.4232
1134,1134,Butaritari,KI,82.24,71,69,12.84,3.0707,172.7902
1135,1135,San cristobal,EC,72.84,86,93,13.56,-0.9045,-89.6174
1136,1136,Busselton,AU,58.06,61,100,10.22,-33.65,115.3333
1137,1137,Rafaela,AR,50.99,69,14,4.85,-31.2503,-61.4867
1138,1138,Alindao,CF,68.41,99,100,3.33,5.0267,21.2088
1139,1139,Saskylakh,RU,37.47,57,100,5.3,71.9167,114.0833
1140,1140,Saint george,BM,76.78,94,100,24.16,32.3817,-64.6781
1141,1141,Kulu,TR,60.66,80,86,7.16,39.0951,33.0799
1142,1142,Sao luiz gonzaga,BR,62.67,96,100,6.08,-28.4083,-54.9608
1143,1143,Hobart,AU,49.86,76,75,26.46,-42.8794,147.3294
1144,1144,Cape town,ZA,64.11,51,4,3.67,-33.9258,18.4232
1145,1145,Kavieng,PG,84.36,66,14,3.67,-2.5744,150.7967
1146,1146,Vaini,TO,75.96,79,45,7.43,-21.2,-175.2
1147,1147,Avarua,CK,80.65,78,40,13.8,-21.2078,-159.775
1148,1148,Upernavik,GL,29.12,81,1,9.82,72.7868,-56.1549
1149,1149,Tarakan,ID,81.9,83,40,6.91,3.3,117.6333
1150,1150,Chernyshevskiy,RU,63.97,54,100,2.82,63.0128,112.4714
1151,1151,Forio,IT,77.52,65,55,1.99,40.7342,13.8646
1152,1152,Bengkulu,ID,79.65,75,100,2.71,-3.8004,102.2655
1153,1153,Lyngseidet,NO,46.4,82,89,8.21,69.5763,20.2189
1154,1154,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
1155,1155,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
1156,1156,Punta arenas,CL,44.71,61,75,13.8,-53.15,-70.9167
1157,1157,New norfolk,AU,49.5,84,98,8.01,-42.7826,147.0587
1158,1158,Luderitz,,69.4,27,0,18.63,-26.6481,15.1594
1159,1159,Cape town,ZA,64.11,51,4,3.67,-33.9258,18.4232
