,City,Country,Max Temp,Lat,Lng,Hotel Name
1059,Hilton head island,US,79.99,32.2163,-80.7526,Days Inn by Wyndham Hilton Head
1062,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
1063,Karratha,AU,73.06,-20.7377,116.8463,Karratha International Hotel
1064,Katsuura,JP,64.42,35.1333,140.3,Katsuura Hilltop Hotel & Residence
1068,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1069,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1071,Darnah,LY,73.87,32.767,22.6367,زاوية الرفاعي
1072,Tezu,IN,74.03,27.9167,96.1667,DUDA Lodge / Hotel
1073,Bambous virieux,MU,69.22,-20.3428,57.7575,La Petite Ferme
1075,Ahipara,NZ,63.07,-35.1667,173.1667,The Huts
1078,Bambous virieux,MU,69.22,-20.3428,57.7575,La Petite Ferme
1079,Sao filipe,CV,75.6,14.8961,-24.4956,Tortuga B&B - Fogo
1080,Buraydah,SA,77.45,26.326,43.975,فندق راحة السلام
1083,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1084,Opunake,NZ,65.12,-39.4556,173.8583,The Lighthouse
1091,Tymovskoye,RU,68.13,50.8456,142.655,"Khostel ""Kak Doma"""
1092,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
1093,Hasaki,JP,63.0,35.7333,140.8333,Gyōkeikan
1095,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1103,Seoul,KR,63.79,37.5683,126.9778,Hotel Irene City
1105,San jose,BO,69.6,-17.9389,-63.3516,Alojamiento Dulce Sueño
1106,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1108,Isangel,VU,79.99,-19.55,169.2667,Volcano Sea View Tree House
1110,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1118,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1119,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1121,Elizabeth city,US,69.82,36.2946,-76.2511,Fairfield Inn & Suites by Marriott Elizabeth City
1123,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
1127,Nome,US,70.16,64.5011,-165.4064,Red Moose
1129,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
1130,Naze,JP,73.63,28.3667,129.4833,Amami Port Tower Hotel
1131,Ketchikan,US,63.07,55.3422,-131.6461,Super 8 by Wyndham Ketchikan
1132,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1133,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1135,San cristobal,EC,72.84,-0.9045,-89.6174,Royal Galápagos Inn
1140,Saint george,BM,76.78,32.3817,-64.6781,Grotto Bay Beach Resort & Spa
1141,Kulu,TR,60.66,39.0951,33.0799,Hotel Yücel
1142,Sao luiz gonzaga,BR,62.67,-28.4083,-54.9608,Hotel Mário
1144,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1146,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1151,Forio,IT,77.52,40.7342,13.8646,Hotel Terme Colella
1152,Bengkulu,ID,79.65,-3.8004,102.2655,Splash Hotel Bengkulu
1154,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1158,Luderitz,,69.4,-26.6481,15.1594,Lüderitz Zum Sperrgebiet
1159,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1164,Shahrud,IR,73.99,36.4182,54.9763,Shahroud University Dormitory
1166,Caravelas,BR,70.5,-17.7125,-39.2481,Pousada Tropical
1168,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
1173,Ribeira grande,PT,65.16,38.5167,-28.7,Casa da Japoneira
1176,Kloulklubed,PW,75.7,7.0419,134.2556,Reiko's Inn
1178,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
1179,Iguape,BR,64.36,-24.7081,-47.5553,Pousada Borboleta Azul
1186,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
1187,Fort dodge,US,64.53,42.4975,-94.168,Economy Inn
1194,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1198,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
1200,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1201,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1202,Port-gentil,GA,75.63,-0.7193,8.7815,Hotel du Littoral
1205,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1206,Praia da vitoria,PT,64.76,38.7333,-27.0667,Espirito Santo Hotel
1210,Kurumkan,RU,62.22,54.3,110.3,Gostevoy Dom Vista
1211,East london,ZA,61.0,-33.0153,27.9116,Woodleigh Guest Lodge
1212,La romana,DO,79.16,18.4273,-68.9728,Hotel River View
1214,Robertsport,LR,78.46,6.7533,-11.3686,Gertrude’s Oceanview Beach Resort
1221,Kalmunai,LK,79.65,7.4167,81.8167,Super Star Tourist Inn (Pvt) Ltd
1222,Ponta do sol,CV,73.18,17.1994,-25.0919,Sintanton Trekking i
1227,Pisco,PE,65.01,-13.7,-76.2167,Hosteria del Monasterio
1228,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1230,Canutama,BR,73.09,-6.5339,-64.3831,Pousada Deus é Fiél
1231,Touros,BR,75.38,-5.1989,-35.4608,Bugaendrus Paradise
1232,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1237,Winnemucca,US,66.25,40.973,-117.7357,"Motel 6 Winnemucca, NV"
1240,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
1244,Borgo san dalmazzo,IT,63.14,44.333,7.4858,Hotel Ristorante Belsito
1248,Laguna,BR,61.99,-28.4825,-48.7808,Hotel Samba Laguna Tourist
1253,Hami,CN,79.5,42.8,93.45,Zhenxin Rest House
1254,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1256,Pisco,PE,65.01,-13.7,-76.2167,Hosteria del Monasterio
1257,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1266,Carnarvon,AU,70.34,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
1267,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
1271,Katsuura,JP,64.42,35.1333,140.3,Katsuura Hilltop Hotel & Residence
1272,Mocuba,MZ,61.99,-16.8392,36.9856,Alojamento Nihia
1274,Takoradi,GH,76.57,4.8845,-1.7554,Grand Favour Hotel
1276,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
1277,Cidreira,BR,62.4,-30.1811,-50.2056,Apart Hotel Portuguêsa
1280,East london,ZA,61.0,-33.0153,27.9116,Woodleigh Guest Lodge
1282,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
1284,Sao filipe,CV,75.6,14.8961,-24.4956,Tortuga B&B - Fogo
1288,Carnarvon,AU,70.34,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
1289,Henties bay,,72.73,-22.116,14.2845,Ulala Accommodation
1291,East london,ZA,61.0,-33.0153,27.9116,Woodleigh Guest Lodge
1292,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1296,Gloria do goita,BR,73.54,-8.0017,-35.2928,Pousada Trevão
1297,Marienburg,SR,75.99,5.8469,-55.0216,dolphins resort
1298,Ust-nera,RU,69.6,64.5667,143.2,Solnechnaya
1300,Tongzi,CN,71.71,28.7829,105.0877,Decai Hotel
1301,Slave lake,CA,63.59,55.2834,-114.769,"Holiday Inn Express & Suites Slave Lake, an IHG Hotel"
1303,Sitka,US,60.69,57.0531,-135.33,Aspen Suites Hotel Sitka
1304,Olinda,BR,74.93,-8.0089,-34.8553,Hotel 5 Sóis
1305,Hasaki,JP,63.0,35.7333,140.8333,Gyōkeikan
1306,Sao filipe,CV,75.6,14.8961,-24.4956,Tortuga B&B - Fogo
1310,Carutapera,BR,74.98,-1.195,-46.02,LIDERA Lançamentos e Incorporações
1311,Pahalgam,IN,61.48,34.0333,75.3333,Hotel Pine Spring
1312,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
1313,Saldanha,ZA,63.59,-33.0117,17.9442,Saldanha Bay Hotel
1315,Touros,BR,75.38,-5.1989,-35.4608,Bugaendrus Paradise
1320,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1322,Taksimo,RU,66.38,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
1327,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1328,Lashio,MM,75.13,22.9333,97.75,Golden Kinnara Hotel
1330,Impfondo,CG,70.65,1.6381,18.0667,Le tropicana
1332,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1338,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
1339,Hualmay,PE,64.42,-11.0964,-77.6139,Hotel Restaurant Turístico Casablanca
1341,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1343,Talara,PE,65.12,-4.5772,-81.2719,Inkawasi Lobitos
1348,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1350,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1353,Port macquarie,AU,68.9,-31.4333,152.9167,Macquarie Waters Boutique Apartment Hotel
1359,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
1360,Harper,LR,77.88,4.375,-7.7169,Cape View Guest House
1361,Huntsville,US,75.85,34.7304,-86.5861,SpringHill Suites by Marriott Huntsville Downtown
1362,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
1363,Montepuez,MZ,62.89,-13.1256,38.9997,Complexo Messalo
1364,Salamiyah,SY,64.24,35.0113,37.0532,حي القصور
1365,Takoradi,GH,76.57,4.8845,-1.7554,Grand Favour Hotel
1373,Palmer,US,61.97,42.1584,-72.3287,The Trainmaster's Inn
1375,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
1379,Bardiyah,LY,71.38,31.7561,25.0865,Hotel Burdy
1380,Hailar,CN,63.75,49.2,119.7,Hulunber Old City Homestay
